news_headline,news_article,news_category,full_text,clean_text
CCI shouldn't have 'removed' Imran Khan's portrait: Rajdeep Sardesai,"Journalist Rajdeep Sardesai has said that the portrait of Pakistan PM and 1992 World Cup-winning captain Imran Khan shouldn't have been ""removed"" by the prestigious Cricket Club of India in Mumbai. ""Yes, we're all angry but why mix cricket with politics by taking soft options? Isn't this taking away from real issue of breaking the Jaish-Pak army nexus?"" he tweeted.",sports,"CCI shouldn't have 'removed' Imran Khan's portrait: Rajdeep Sardesai. Journalist Rajdeep Sardesai has said that the portrait of Pakistan PM and 1992 World Cup-winning captain Imran Khan shouldn't have been ""removed"" by the prestigious Cricket Club of India in Mumbai. ""Yes, we're all angry but why mix cricket with politics by taking soft options? Isn't this taking away from real issue of breaking the Jaish-Pak army nexus?"" he tweeted.","CCI not removed Imran Khans portrait : Rajdeep Sardesai. Journalist Rajdeep Sardesai said portrait Pakistan PM 1992 World Cup-winning captain Imran Khan not "" removed "" prestigious Cricket Club India Mumbai. "" Yes , angry mix cricket politics taking soft options ? not taking away real issue breaking Jaish-Pak army nexus ? "" tweeted ."
"Shaw returns from injury, named in Mumbai squad for T20 tournament","Prithvi Shaw has been included in Mumbai's squad for the upcoming Syed Mushtaq Ali Trophy, which is India's domestic T20 tournament. The tournament will mark the 19-year-old's return to competitive cricket after he sustained an ankle injury during a practice game in Australia in November. Shaw is a part of Mumbai's 15-member squad which will be led by Ajinkya Rahane.",sports,"Shaw returns from injury, named in Mumbai squad for T20 tournament. Prithvi Shaw has been included in Mumbai's squad for the upcoming Syed Mushtaq Ali Trophy, which is India's domestic T20 tournament. The tournament will mark the 19-year-old's return to competitive cricket after he sustained an ankle injury during a practice game in Australia in November. Shaw is a part of Mumbai's 15-member squad which will be led by Ajinkya Rahane.","Shaw returns injury , named Mumbai squad T20 tournament. Prithvi Shaw included Mumbais squad upcoming Syed Mushtaq Ali Trophy , Indias domestic T20 tournament. tournament mark 19-year-olds return competitive cricket sustained ankle injury practice game Australia November. Shaw part Mumbais 15-member squad led Ajinkya Rahane ."
"Who is Markande, uncapped player in India's squad for Aus T20Is?","Leg-spinner Mayank Markande, who has received his maiden Team India call-up for the T20I series against Australia, was born in Punjab's Bathinda on November 11, 1997. The 21-year-old plays for Punjab in the domestic circuit and Mumbai Indians in the Indian Premier League. He has taken 99 wickets in 47 professional matches across formats. ",sports,"Who is Markande, uncapped player in India's squad for Aus T20Is?. Leg-spinner Mayank Markande, who has received his maiden Team India call-up for the T20I series against Australia, was born in Punjab's Bathinda on November 11, 1997. The 21-year-old plays for Punjab in the domestic circuit and Mumbai Indians in the Indian Premier League. He has taken 99 wickets in 47 professional matches across formats. ","Markande , uncapped player Indias squad Aus T20Is?. Leg-spinner Mayank Markande , received maiden Team India call-up T20I series Australia , born Punjabs Bathinda November 11 , 1997. 21-year-old plays Punjab domestic circuit Mumbai Indians Indian Premier League. taken 99 wickets 47 professional matches across formats."
On-field umpire gets hit on head by player's throw during Irani Cup,"Umpire CK Nandan was struck on his head by a throw from a Vidarbha fielder during Irani Cup 2019 match, which concluded today. The incident took place in 95th over of Rest of India's second innings, when Hanuma Vihari pushed a ball towards long-off. Nandan went down to the ground in pain and resumed after being attended to by physios. ",sports,"On-field umpire gets hit on head by player's throw during Irani Cup. Umpire CK Nandan was struck on his head by a throw from a Vidarbha fielder during Irani Cup 2019 match, which concluded today. The incident took place in 95th over of Rest of India's second innings, when Hanuma Vihari pushed a ball towards long-off. Nandan went down to the ground in pain and resumed after being attended to by physios. ","On-field umpire gets hit head players throw Irani Cup. Umpire CK Nandan struck head throw Vidarbha fielder Irani Cup 2019 match , concluded today. incident took place 95th Rest Indias second innings , Hanuma Vihari pushed ball towards long-off. Nandan went ground pain resumed attended physios."
Melbourne Renegades beat Melbourne Stars to win maiden BBL title,"Melbourne Renegades defeated Melbourne Stars by 13 runs in the final today to clinch their maiden Big Bash League title. Chasing a target of 146, Stars were cruising at 93-0 at one stage but lost seven wickets for 19 runs in less than five overs. This was the first time in eight BBL seasons that Renegades had reached the final.",sports,"Melbourne Renegades beat Melbourne Stars to win maiden BBL title. Melbourne Renegades defeated Melbourne Stars by 13 runs in the final today to clinch their maiden Big Bash League title. Chasing a target of 146, Stars were cruising at 93-0 at one stage but lost seven wickets for 19 runs in less than five overs. This was the first time in eight BBL seasons that Renegades had reached the final.","Melbourne Renegades beat Melbourne Stars win maiden BBL title. Melbourne Renegades defeated Melbourne Stars 13 runs final today clinch maiden Big Bash League title. Chasing target 146 , Stars cruising 93-0 one stage lost seven wickets 19 runs less five overs. first time eight BBL seasons Renegades reached final ."
Shikhar Dhawan to donate money to families of CRPF martyrs,"Indian cricketer Shikhar Dhawan said that he will be donating money to the families of the 40 CRPF paramilitary troopers who were martyred in a terror attack and asked his Facebook followers to do the same. Earlier, Virender Sehwag had offered to bear the educational expenses of children of all the CRPF personnel martyred in the terrorist attack in Pulwama.",sports,"Shikhar Dhawan to donate money to families of CRPF martyrs. Indian cricketer Shikhar Dhawan said that he will be donating money to the families of the 40 CRPF paramilitary troopers who were martyred in a terror attack and asked his Facebook followers to do the same. Earlier, Virender Sehwag had offered to bear the educational expenses of children of all the CRPF personnel martyred in the terrorist attack in Pulwama.","Shikhar Dhawan donate money families CRPF martyrs. Indian cricketer Shikhar Dhawan said donating money families 40 CRPF paramilitary troopers martyred terror attack asked Facebook followers same. Earlier , Virender Sehwag offered bear educational expenses children CRPF personnel martyred terrorist attack Pulwama ."
Cummins 1st Aussie since McGrath 13 yrs ago to be Test rank 1,"Pat Cummins has become the first Australian since Glenn McGrath 13 years ago to be the number one ranked Test bowler in the world, claiming the top spot in the latest ICC update. Cummins and England's James Anderson have both moved ahead of South Africa's Kagiso Rabada after the Proteas' loss to Sri Lanka in Durban.",sports,"Cummins 1st Aussie since McGrath 13 yrs ago to be Test rank 1. Pat Cummins has become the first Australian since Glenn McGrath 13 years ago to be the number one ranked Test bowler in the world, claiming the top spot in the latest ICC update. Cummins and England's James Anderson have both moved ahead of South Africa's Kagiso Rabada after the Proteas' loss to Sri Lanka in Durban.","Cummins 1st Aussie since McGrath 13 yrs ago Test rank 1. Pat Cummins become first Australian since Glenn McGrath 13 years ago number one ranked Test bowler world , claiming top spot latest ICC update. Cummins Englands James Anderson moved ahead South Africas Kagiso Rabada Proteas loss Sri Lanka Durban ."
Real Madrid suffer home defeat against Girona,"Real Madrid suffered a home defeat against Girona on Sunday. Girona scored two past Madrid, who could only score one goal in the entire match. Towards the end of the match, Real Madrid captain Sergio Ramos was handed a red card. With the loss, Madrid stays in third position while Girona is in 15th place on the table. ",sports,"Real Madrid suffer home defeat against Girona. Real Madrid suffered a home defeat against Girona on Sunday. Girona scored two past Madrid, who could only score one goal in the entire match. Towards the end of the match, Real Madrid captain Sergio Ramos was handed a red card. With the loss, Madrid stays in third position while Girona is in 15th place on the table. ","Real Madrid suffer home defeat Girona. Real Madrid suffered home defeat Girona Sunday. Girona scored two past Madrid , could score one goal entire match. Towards end match , Real Madrid captain Sergio Ramos handed red card. loss , Madrid stays third position Girona 15th place table."
Irish player hits match-winning 6 when 6 needed off last ball,"Ireland's Stuart Poynter became only the second cricketer in international cricket to have hit a six when 6 runs were needed on the last ball. Poynter found himself on strike needing six runs with just one wicket in hand to go past the Netherlands' 182/9. Earlier, former Windies cricketer Shivnarine Chanderpaul achieved the feat against Sri Lanka in 2008. ",sports,"Irish player hits match-winning 6 when 6 needed off last ball. Ireland's Stuart Poynter became only the second cricketer in international cricket to have hit a six when 6 runs were needed on the last ball. Poynter found himself on strike needing six runs with just one wicket in hand to go past the Netherlands' 182/9. Earlier, former Windies cricketer Shivnarine Chanderpaul achieved the feat against Sri Lanka in 2008. ","Irish player hits match-winning 6 6 needed last ball. Irelands Stuart Poynter became second cricketer international cricket hit six 6 runs needed last ball. Poynter found strike needing six runs one wicket hand go past Netherlands 182/9. Earlier , former Windies cricketer Shivnarine Chanderpaul achieved feat Sri Lanka 2008."
"Dravid told me I have shots, temperament to be finisher: Shankar","Indian cricketer Vijay Shankar said that he got confidence by talking to Rahul Dravid after his 19-ball 17-run innings in the final of Nidahas T20 Tri-series last year. ""[Dravid] told me that I have the shots and temperament to be a finisher,"" Shankar revealed. Shankar further revealed that he once tried to impress Dravid by playing extravagant shots.",sports,"Dravid told me I have shots, temperament to be finisher: Shankar. Indian cricketer Vijay Shankar said that he got confidence by talking to Rahul Dravid after his 19-ball 17-run innings in the final of Nidahas T20 Tri-series last year. ""[Dravid] told me that I have the shots and temperament to be a finisher,"" Shankar revealed. Shankar further revealed that he once tried to impress Dravid by playing extravagant shots.","Dravid told shots , temperament finisher : Shankar. Indian cricketer Vijay Shankar said got confidence talking Rahul Dravid 19-ball 17-run innings final Nidahas T20 Tri-series last year. "" [ Dravid ] told shots temperament finisher , "" Shankar revealed. Shankar revealed tried impress Dravid playing extravagant shots ."
"Boult, Mahmudullah charged for breaching ICC Code of Conduct","New Zealand's left-arm pacer Trent Boult and Bangladesh all-rounder Mahmudullah were charged for breaching the ICC Code of Conduct in two separate incidents during the second one-day international on Saturday. Mahmudullah and Boult have been fined 10 and 15 per cent of their match fees, respectively. Mahmudullah struck the fence when leaving the ground, while Boult used audible obscene words.",sports,"Boult, Mahmudullah charged for breaching ICC Code of Conduct. New Zealand's left-arm pacer Trent Boult and Bangladesh all-rounder Mahmudullah were charged for breaching the ICC Code of Conduct in two separate incidents during the second one-day international on Saturday. Mahmudullah and Boult have been fined 10 and 15 per cent of their match fees, respectively. Mahmudullah struck the fence when leaving the ground, while Boult used audible obscene words.","Boult , Mahmudullah charged breaching ICC Code Conduct. New Zealands left-arm pacer Trent Boult Bangladesh all-rounder Mahmudullah charged breaching ICC Code Conduct two separate incidents second one-day international Saturday. Mahmudullah Boult fined 10 15 per cent match fees , respectively. Mahmudullah struck fence leaving ground , Boult used audible obscene words ."
Messi reaches 30-goal mark for 11th successive season,"Lionel Messi converted a penalty to help Barcelona register a 1-0 win over Real Valladolid as he reached the 30-goal mark in all competitions for the 11th successive season. Messi also missed a penalty in the match. With the win, Barcelona pulled seven points clear ahead of Atletico Madrid, who are currently second-placed in the La Liga points table.",sports,"Messi reaches 30-goal mark for 11th successive season. Lionel Messi converted a penalty to help Barcelona register a 1-0 win over Real Valladolid as he reached the 30-goal mark in all competitions for the 11th successive season. Messi also missed a penalty in the match. With the win, Barcelona pulled seven points clear ahead of Atletico Madrid, who are currently second-placed in the La Liga points table.","Messi reaches 30-goal mark 11th successive season. Lionel Messi converted penalty help Barcelona register 1-0 win Real Valladolid reached 30-goal mark competitions 11th successive season. Messi also missed penalty match. win , Barcelona pulled seven points clear ahead Atletico Madrid , currently second-placed La Liga points table ."
You've watched 1 of the greatest innings ever: Shastri on Perera,"Indian cricket team coach Ravi Shastri tweeted about Sri Lankan batsman Kusal Perera's match-winning innings. Shastri tweeted, ""Kusal Perera. You beauty. You did it single handedly with a fighter in a number 11. Sri Lanka. You've watched one of the greatest innings ever played."" Perera's innings helped Sri Lanka win the Test against South Africa by one wicket.",sports,"You've watched 1 of the greatest innings ever: Shastri on Perera. Indian cricket team coach Ravi Shastri tweeted about Sri Lankan batsman Kusal Perera's match-winning innings. Shastri tweeted, ""Kusal Perera. You beauty. You did it single handedly with a fighter in a number 11. Sri Lanka. You've watched one of the greatest innings ever played."" Perera's innings helped Sri Lanka win the Test against South Africa by one wicket.","watched 1 greatest innings ever : Shastri Perera. Indian cricket team coach Ravi Shastri tweeted Sri Lankan batsman Kusal Pereras match-winning innings. Shastri tweeted , "" Kusal Perera. beauty. single handedly fighter number 11. Sri Lanka. watched one greatest innings ever played. "" Pereras innings helped Sri Lanka win Test South Africa one wicket ."
Sir Alex to return as manager for Man United Legends team match,Former Manchester United manager Sir Alex Ferguson will return to the dugout for a charity match that will celebrate the 20th anniversary of the team's treble-winning season. The 77-year-old Scot will take charge as manager of a Manchester United Legends side against Bayern Munich Legends side at the Old Trafford on May 26. ,sports,Sir Alex to return as manager for Man United Legends team match. Former Manchester United manager Sir Alex Ferguson will return to the dugout for a charity match that will celebrate the 20th anniversary of the team's treble-winning season. The 77-year-old Scot will take charge as manager of a Manchester United Legends side against Bayern Munich Legends side at the Old Trafford on May 26. ,Sir Alex return manager Man United Legends team match. Former Manchester United manager Sir Alex Ferguson return dugout charity match celebrate 20th anniversary teams treble-winning season. 77-year-old Scot take charge manager Manchester United Legends side Bayern Munich Legends side Old Trafford May 26.
"Qatar invites India’s 1983, 2011 WC champs for FIFA World Cup","Nasser Al Khater, CEO of the FIFA World Cup Qatar 2022, has extended the invitation for the FIFA World Cup to India's cricket World Cup-winning teams of 1983 and 2011. ""It is safe to say that this world cup (in Qatar in 2022) is for all of us to celebrate,"" Khater said about the event.",sports,"Qatar invites India’s 1983, 2011 WC champs for FIFA World Cup. Nasser Al Khater, CEO of the FIFA World Cup Qatar 2022, has extended the invitation for the FIFA World Cup to India's cricket World Cup-winning teams of 1983 and 2011. ""It is safe to say that this world cup (in Qatar in 2022) is for all of us to celebrate,"" Khater said about the event.","Qatar invites Indias 1983 , 2011 WC champs FIFA World Cup. Nasser Al Khater , CEO FIFA World Cup Qatar 2022 , extended invitation FIFA World Cup Indias cricket World Cup-winning teams 1983 2011. "" safe say world cup ( Qatar 2022 ) us celebrate , "" Khater said event ."
Kusal Perera jumps 58 ranks after Test-winning innings vs SA,Sri Lankan batsman Kusal Perera advanced 58 places in the ICC Test Player Rankings after his performance helped his team register a one-wicket victory over South Africa. The left-handed batsman has reached a career-best 40th position after 15 Tests. Perera scored 51 and an unbeaten 153 in the Test against South Africa.,sports,Kusal Perera jumps 58 ranks after Test-winning innings vs SA. Sri Lankan batsman Kusal Perera advanced 58 places in the ICC Test Player Rankings after his performance helped his team register a one-wicket victory over South Africa. The left-handed batsman has reached a career-best 40th position after 15 Tests. Perera scored 51 and an unbeaten 153 in the Test against South Africa.,Kusal Perera jumps 58 ranks Test-winning innings vs SA. Sri Lankan batsman Kusal Perera advanced 58 places ICC Test Player Rankings performance helped team register one-wicket victory South Africa. left-handed batsman reached career-best 40th position 15 Tests. Perera scored 51 unbeaten 153 Test South Africa .
John Cena to host 'Are you smarter than a 5th grader' show,"The 16-time WWE World Champion wrestler John Cena is set to host the popular quiz show 'Are you smarter than a 5th grader' on Nickelodeon. ""I'm excited to partner again with Nickelodeon to host this new series, and I can't wait to see kids defeat grownups who find themselves back in the classroom,"" Cena said.",sports,"John Cena to host 'Are you smarter than a 5th grader' show. The 16-time WWE World Champion wrestler John Cena is set to host the popular quiz show 'Are you smarter than a 5th grader' on Nickelodeon. ""I'm excited to partner again with Nickelodeon to host this new series, and I can't wait to see kids defeat grownups who find themselves back in the classroom,"" Cena said.","John Cena host smarter 5th grader show. 16-time WWE World Champion wrestler John Cena set host popular quiz show smarter 5th grader Nickelodeon. "" excited partner Nickelodeon host new series , cannot wait see kids defeat grownups find back classroom , "" Cena said ."
Sergio Ramos 1st player to receive 20 red cards in La Liga,"Real Madrid captain Sergio Ramos became the first player in the history of La Liga to receive 20 red cards after getting sent off in the match against Girona on Sunday. This was Ramos' 25th red card across all competitions for Madrid. Ramos was sent off towards the end of the match, which ended in a loss for Madrid.",sports,"Sergio Ramos 1st player to receive 20 red cards in La Liga. Real Madrid captain Sergio Ramos became the first player in the history of La Liga to receive 20 red cards after getting sent off in the match against Girona on Sunday. This was Ramos' 25th red card across all competitions for Madrid. Ramos was sent off towards the end of the match, which ended in a loss for Madrid.","Sergio Ramos 1st player receive 20 red cards La Liga. Real Madrid captain Sergio Ramos became first player history La Liga receive 20 red cards getting sent match Girona Sunday. Ramos 25th red card across competitions Madrid. Ramos sent towards end match , ended loss Madrid ."
Customs duty on all goods imported from Pakistan hiked to 200%,"Finance Minister Arun Jaitley has announced basic customs duty on all goods imported from Pakistan has been raised to 200% with immediate effect. This comes after India revoked Pakistan's MFN (Most Favoured Nation) status following the Pulwama attack, in which 40 CRPF personnel were martyred. India had granted the status to Pakistan in 1996, a year after WTO's formation. ",world,"Customs duty on all goods imported from Pakistan hiked to 200%. Finance Minister Arun Jaitley has announced basic customs duty on all goods imported from Pakistan has been raised to 200% with immediate effect. This comes after India revoked Pakistan's MFN (Most Favoured Nation) status following the Pulwama attack, in which 40 CRPF personnel were martyred. India had granted the status to Pakistan in 1996, a year after WTO's formation. ","Customs duty goods imported Pakistan hiked 200 % . Finance Minister Arun Jaitley announced basic customs duty goods imported Pakistan raised 200 % immediate effect. comes India revoked Pakistans MFN ( Favoured Nation ) status following Pulwama attack , 40 CRPF personnel martyred. India granted status Pakistan 1996 , year WTOs formation."
Cricket Club of India covers Pak PM's portrait over Pulwama attack,"The prestigious Cricket Club of India (CCI) in Mumbai covered a portrait of Pakistan Prime Minister and 1992 World Cup-winning captain Imran Khan to protest against the terror attack on CRPF convoy in J&K's Pulwama. ""We have photographs of past and present cricketers from all countries. We wanted to show...displeasure...on whatever is happening right now,"" CCI President Premal Udani said.",world,"Cricket Club of India covers Pak PM's portrait over Pulwama attack. The prestigious Cricket Club of India (CCI) in Mumbai covered a portrait of Pakistan Prime Minister and 1992 World Cup-winning captain Imran Khan to protest against the terror attack on CRPF convoy in J&K's Pulwama. ""We have photographs of past and present cricketers from all countries. We wanted to show...displeasure...on whatever is happening right now,"" CCI President Premal Udani said.","Cricket Club India covers Pak PMs portrait Pulwama attack. prestigious Cricket Club India ( CCI ) Mumbai covered portrait Pakistan Prime Minister 1992 World Cup-winning captain Imran Khan protest terror attack CRPF convoy J&Ks Pulwama. "" photographs past present cricketers countries. wanted show ... displeasure ... whatever happening right , "" CCI President Premal Udani said ."
Guwahati professor suspended over Facebook post on Pulwama attack,"Papri Banerjee, an Assistant Professor working at Icon Commerce College in Guwahati, has been suspended by the institute over a Facebook post on Pulwama attack. Banerjee had condemned the attack but also blamed the Indian Army for atrocities on civilians in Jammu and Kashmir. Banerjee said she received threats and intimidation over the post from different users.",world,"Guwahati professor suspended over Facebook post on Pulwama attack. Papri Banerjee, an Assistant Professor working at Icon Commerce College in Guwahati, has been suspended by the institute over a Facebook post on Pulwama attack. Banerjee had condemned the attack but also blamed the Indian Army for atrocities on civilians in Jammu and Kashmir. Banerjee said she received threats and intimidation over the post from different users.","Guwahati professor suspended Facebook post Pulwama attack. Papri Banerjee , Assistant Professor working Icon Commerce College Guwahati , suspended institute Facebook post Pulwama attack. Banerjee condemned attack also blamed Indian Army atrocities civilians Jammu Kashmir. Banerjee said received threats intimidation post different users ."
Ready to cooperate if India shares evidence: Pak on Pulwama attack,"Stating that no one can intimidate Pakistan for the Pulwama terror attack, Pakistan Foreign Minister Shah Mahmood Qureshi has offered to fully cooperate in any probe into the incident if India shares any evidence with it. ""It is easy to blame Pakistan but it will not solve the problem,"" he added. The terror attack was claimed by Pakistan-based Jaish-e-Mohammed.",world,"Ready to cooperate if India shares evidence: Pak on Pulwama attack. Stating that no one can intimidate Pakistan for the Pulwama terror attack, Pakistan Foreign Minister Shah Mahmood Qureshi has offered to fully cooperate in any probe into the incident if India shares any evidence with it. ""It is easy to blame Pakistan but it will not solve the problem,"" he added. The terror attack was claimed by Pakistan-based Jaish-e-Mohammed.","Ready cooperate India shares evidence : Pak Pulwama attack. Stating no one intimidate Pakistan Pulwama terror attack , Pakistan Foreign Minister Shah Mahmood Qureshi offered fully cooperate probe incident India shares evidence it. "" easy blame Pakistan not solve problem , "" added. terror attack claimed Pakistan-based Jaish-e-Mohammed ."
"Pak's Foreign Ministry, Army websites hacked 2 days after J&K attack","
Two days after terror attack in Jammu and Kashmir's Pulwama that claimed the lives of 40 CRPF jawans, the official websites of Pakistan’s Foreign Ministry and the Army were hacked on Saturday night. The websites were inaccessible for users outside the country. The cyber attack is believed to have originated from India, Pakistan's news organisation Dawn quoted officials as saying.",world,"Pak's Foreign Ministry, Army websites hacked 2 days after J&K attack. 
Two days after terror attack in Jammu and Kashmir's Pulwama that claimed the lives of 40 CRPF jawans, the official websites of Pakistan’s Foreign Ministry and the Army were hacked on Saturday night. The websites were inaccessible for users outside the country. The cyber attack is believed to have originated from India, Pakistan's news organisation Dawn quoted officials as saying.","Paks Foreign Ministry , Army websites hacked 2 days J&K attack. Two days terror attack Jammu Kashmirs Pulwama claimed lives 40 CRPF jawans , official websites Pakistans Foreign Ministry Army hacked Saturday night. websites inaccessible users outside country. cyber attack believed originated India , Pakistans news organisation Dawn quoted officials saying ."
UK to track thousands of criminals with electronic GPS tags,"Thousands of criminals in England and Wales will be tagged with GPS trackers that let authorities trace their locations 24 hours a day, the UK's Justice Secretary David Gauke said.  The electronic tags can be used to ban someone from going within a certain distance of an address. They will better protect victims of domestic abuse or stalking, Gauke added.
",world,"UK to track thousands of criminals with electronic GPS tags. Thousands of criminals in England and Wales will be tagged with GPS trackers that let authorities trace their locations 24 hours a day, the UK's Justice Secretary David Gauke said.  The electronic tags can be used to ban someone from going within a certain distance of an address. They will better protect victims of domestic abuse or stalking, Gauke added.
","UK track thousands criminals electronic GPS tags. Thousands criminals England Wales tagged GPS trackers let authorities trace locations 24 hours day , UKs Justice Secretary David Gauke said. electronic tags used ban someone going within certain distance address. better protect victims domestic abuse stalking , Gauke added."
Indian salesman accused of harassing 15-yr-old girl at Dubai mall,A 31-year-old Indian salesman is accused of sexually harassing a 15-year-old girl at a Dubai mall on November 13. He allegedly grabbed a dress and pulled the girl to a corner in the shop before rushing to help her button it and groped her in the process. He said he must have touched her unintentionally while fastening the last button.,world,Indian salesman accused of harassing 15-yr-old girl at Dubai mall. A 31-year-old Indian salesman is accused of sexually harassing a 15-year-old girl at a Dubai mall on November 13. He allegedly grabbed a dress and pulled the girl to a corner in the shop before rushing to help her button it and groped her in the process. He said he must have touched her unintentionally while fastening the last button.,Indian salesman accused harassing 15-yr-old girl Dubai mall. 31-year-old Indian salesman accused sexually harassing 15-year-old girl Dubai mall November 13. allegedly grabbed dress pulled girl corner shop rushing help button groped process. said must touched unintentionally fastening last button .
"Pak kids dance to 'Dil Hai Hindustani', school's registration suspended","Pakistani authorities have suspended the registration of a school in Sindh after some students danced to 'Phir Bhi Dil Hai Hindustani' and waved India's national flag during a cultural event. ""Promoting Indian culture in educational institutions was against Pakistan's national dignity which could not be tolerated,"" the Directorate of Inspection and Registration of Private Institutions Sindh said.",world,"Pak kids dance to 'Dil Hai Hindustani', school's registration suspended. Pakistani authorities have suspended the registration of a school in Sindh after some students danced to 'Phir Bhi Dil Hai Hindustani' and waved India's national flag during a cultural event. ""Promoting Indian culture in educational institutions was against Pakistan's national dignity which could not be tolerated,"" the Directorate of Inspection and Registration of Private Institutions Sindh said.","Pak kids dance Dil Hai Hindustani , schools registration suspended. Pakistani authorities suspended registration school Sindh students danced Phir Bhi Dil Hai Hindustani waved Indias national flag cultural event. "" Promoting Indian culture educational institutions Pakistans national dignity could not tolerated , "" Directorate Inspection Registration Private Institutions Sindh said ."
Kulbhushan Jadhav case hearing to be streamed live by ICJ,"Public hearings in the Kulbhushan Jadhav case will be streamed live on the International Court of Justice (ICJ) website, reports said. The ICJ has set a timetable for the public hearing in the case from February 18 to 21. Jadhav was sentenced to death by a Pakistani military court on charges of espionage and terrorism in April 2017.",world,"Kulbhushan Jadhav case hearing to be streamed live by ICJ. Public hearings in the Kulbhushan Jadhav case will be streamed live on the International Court of Justice (ICJ) website, reports said. The ICJ has set a timetable for the public hearing in the case from February 18 to 21. Jadhav was sentenced to death by a Pakistani military court on charges of espionage and terrorism in April 2017.","Kulbhushan Jadhav case hearing streamed live ICJ. Public hearings Kulbhushan Jadhav case streamed live International Court Justice ( ICJ ) website , reports said. ICJ set timetable public hearing case February 18 21. Jadhav sentenced death Pakistani military court charges espionage terrorism April 2017 ."
South Africa drops fugitive status for businessman Ajay Gupta,"South Africa is removing fugitive status against Saharanpur-born Ajay Gupta, who left for Dubai a year ago, over inconclusive evidence. Gupta and his brothers Atul and Rajesh allegedly offered $42 million to ex-Deputy Finance Minister Mcebisi Jonas to favour their IT, mining, and media businesses. The arrest warrant was dropped as Jonas was uncertain if Ajay or Rajesh offered bribes.",world,"South Africa drops fugitive status for businessman Ajay Gupta. South Africa is removing fugitive status against Saharanpur-born Ajay Gupta, who left for Dubai a year ago, over inconclusive evidence. Gupta and his brothers Atul and Rajesh allegedly offered $42 million to ex-Deputy Finance Minister Mcebisi Jonas to favour their IT, mining, and media businesses. The arrest warrant was dropped as Jonas was uncertain if Ajay or Rajesh offered bribes.","South Africa drops fugitive status businessman Ajay Gupta. South Africa removing fugitive status Saharanpur-born Ajay Gupta , left Dubai year ago , inconclusive evidence. Gupta brothers Atul Rajesh allegedly offered $ 42 million ex-Deputy Finance Minister Mcebisi Jonas favour , mining , media businesses. arrest warrant dropped Jonas uncertain Ajay Rajesh offered bribes ."
There are no independent countries in the world: Putin,"Russian President Vladimir Putin has said there are no fully independent countries as ""the modern world is the world of interdependence"". Questioning the sovereignty of European countries, Putin said they don't want to host US missiles but ""keep quiet"". The EU Parliament takes more decisions for the member states than the USSR Supreme Council took for Soviet republics, he added.",world,"There are no independent countries in the world: Putin. Russian President Vladimir Putin has said there are no fully independent countries as ""the modern world is the world of interdependence"". Questioning the sovereignty of European countries, Putin said they don't want to host US missiles but ""keep quiet"". The EU Parliament takes more decisions for the member states than the USSR Supreme Council took for Soviet republics, he added.","no independent countries world : Putin. Russian President Vladimir Putin said no fully independent countries "" modern world world interdependence "" . Questioning sovereignty European countries , Putin said not want host US missiles "" keep quiet "" . EU Parliament takes decisions member states USSR Supreme Council took Soviet republics , added ."
20 feared trapped as 4 floors collapse at Russia university,"Over 20 people are feared trapped under the rubble after four floors of a university building collapsed in the Russian city of Saint Petersburg on Saturday. Over 85 people were evacuated from the building following the collapse, according to reports. The collapse was likely caused due to repair work at the building. ",world,"20 feared trapped as 4 floors collapse at Russia university. Over 20 people are feared trapped under the rubble after four floors of a university building collapsed in the Russian city of Saint Petersburg on Saturday. Over 85 people were evacuated from the building following the collapse, according to reports. The collapse was likely caused due to repair work at the building. ","20 feared trapped 4 floors collapse Russia university. 20 people feared trapped rubble four floors university building collapsed Russian city Saint Petersburg Saturday. 85 people evacuated building following collapse , according reports. collapse likely caused due repair work building."
Take back 800 ISIS prisoners or they'll be freed: Trump to Europe,"US President Donald Trump has demanded that European nations take back and put on trial their citizens who joined Islamic State and were captured by US-allied forces in Syria, warning the 800 prisoners would otherwise be released. Adding that the US is withdrawing after ""100% victory"" over ISIS, Trump said, ""Time for others to step up and do the job.""",world,"Take back 800 ISIS prisoners or they'll be freed: Trump to Europe. US President Donald Trump has demanded that European nations take back and put on trial their citizens who joined Islamic State and were captured by US-allied forces in Syria, warning the 800 prisoners would otherwise be released. Adding that the US is withdrawing after ""100% victory"" over ISIS, Trump said, ""Time for others to step up and do the job.""","Take back 800 ISIS prisoners freed : Trump Europe. US President Donald Trump demanded European nations take back put trial citizens joined Islamic State captured US-allied forces Syria , warning 800 prisoners would otherwise released. Adding US withdrawing "" 100 % victory "" ISIS , Trump said , "" Time others step job . """
